smiles,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-CAM,E2-CAM,f1-CAM,f2-CAM
[H]C(=O)C1([H])N2C([H])([H])C1([H])C2([H])[H],0.15402622,0.19482004,0.00042517,0.01788872,0.14920737,0.17465924,0.00032405,0.01443297,0.14989315,0.19512054,0.0003,0.0165
[H]C(=O)N1C2([H])C([H])([H])C1([H])C2([H])[H],0.19509244,0.24246803,0.01383486,0.23558903,0.19217362,0.25639504,0.00611954,0.21235957,0.19197113,0.25068552,0.0071,0.2085
[H]C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.3268718,0.33490385,0.04001967,0.01077789,0.33274794,0.34164355,0.03529722,0.01872075,0.32365131,0.33271002,0.0276,0.0111
[H]C([H])([H])C([H])([H])C1([H])C2([H])OC1([H])C2([H])[H],0.25328075,0.26421048,0.00545695,0.00133874,0.27184109,0.28978813,0.00311625,0.00519984,0.26893891,0.28420091,0.0015,0.002
[H]C([H])([H])OC1([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.27606634,0.30166679,0.02560906,0.04180834,0.29167322,0.31834648,0.03014824,0.02769164,0.28277871,0.30879356,0.0256,0.0198
[H]C([H])([H])OC1([H])C2([H])OC1([H])C2([H])[H],0.25282716,0.27179774,0.00565276,0.01009143,0.26815716,0.29081215,0.00764551,0.01993448,0.26367273,0.2833226,0.0031,0.0227
[H]OC([H])([H])C1([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.26321266,0.3230385,0.00087642,0.0246452,0.27599885,0.32118902,0.00203718,0.02033607,0.26086141,0.31916422,0.0005,0.0006
[H]OC([H])([H])C1([H])C2([H])OC1([H])C2([H])[H],0.25711666,0.26226502,0.00647381,0.00016088,0.27194455,0.27870896,0.00375089,0.00188131,0.26327217,0.27163264,0.0008,0.0016
[H]OC([H])([H])C1([H])N2C([H])([H])C1([H])C2([H])[H],0.24565849,0.26969618,0.00132752,0.02187068,0.26937468,0.28508168,0.00149241,0.01413986,0.2546471,0.28109926,0.0063,0.0062
[H]C1([H])C([H])([H])C([H])(C2([H])C([H])([H])C2([H])[H])C1([H])[H],0.30078035,0.30420469,0.00002779,0.00245103,0.30159936,0.30886073,0.00048108,0.00203785,0.29619221,0.2997569,0,0.0014
[H]C1([H])OC([H])(C2([H])C([H])([H])C2([H])[H])C1([H])[H],0.26356138,0.27288444,0.0049733,0.02112828,0.27961098,0.28680388,0.00691608,0.00906367,0.27142317,0.28421193,0.0045,0.0172
[H]C1([H])OC([H])([H])C1([H])C1([H])C([H])([H])C1([H])[H],0.25801522,0.29346328,0.00029101,0.00003626,0.27686562,0.28160848,0.00474757,0.0146176,0.26392263,0.28287426,0.0008,0.0225
[H]C1([H])N(C2([H])C([H])([H])C([H])([H])C2([H])[H])C1([H])[H],0.25286051,0.25963891,0.01270052,0.00779663,0.26359756,0.26729858,0.00459398,0.01047173,0.2625923,0.2639851,0.0059,0.0099
[H]C1([H])OC([H])([H])C1([H])N1C([H])([H])C1([H])[H],0.25924312,0.26011176,0.00056327,0.00182759,0.27080768,0.274695,0.00942189,0.00070235,0.26455104,0.26587769,0.0029,0.0003
[H]N1C([H])([H])C1([H])C1([H])OC([H])([H])C1([H])[H],0.25935167,0.26393278,0.00369395,0.00427331,0.26535986,0.275199,0.00656864,0.00686991,0.25871893,0.27084988,0.0027,0.0044
[H]C1([H])OC1([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0.28979361,0.29810357,0.03025452,0.00150269,0.30180465,0.30581269,0.00679513,0.00298105,0.30038899,0.30547877,0.0128,0.0055
[H]C1([H])OC([H])(C2([H])OC2([H])[H])C1([H])[H],0.26324549,0.27936708,0.00195676,0.02424373,0.27532348,0.29167344,0.00298155,0.02575801,0.27031334,0.28921352,0.0014,0.0206
[H]C1([H])OC1([H])C1([H])C([H])([H])OC1([H])[H],0.25923177,0.27857133,0.00029699,0.02873763,0.27729911,0.28828761,0.00538772,0.02478437,0.26480094,0.28668884,0.0007,0.0321
[H]C1([H])C2([H])C([H])([H])C1([H])C21C([H])([H])C1([H])[H],0.30021604,0.31126842,0.00896481,0.02253747,0.31786715,0.31850794,0.0000008,0.00623619,0.30182588,0.3106494,0.0072,0.0055
[H]C1([H])C2([H])OC1([H])C21C([H])([H])C1([H])[H],0.25232147,0.27326122,0.0060724,0.00343686,0.27419901,0.28296488,0.00100241,0.00007719,0.26688095,0.28958468,0.0026,0.0001
[H]N1C([H])([H])C12C1([H])OC2([H])C1([H])[H],0.25301824,0.25457795,0.00655215,0.00884774,0.26881355,0.27266204,0.01144683,0.00170507,0.25847638,0.26653918,0.0095,0.0036
[H]C1([H])OC12C1([H])C([H])([H])C2([H])C1([H])[H],0.27878707,0.29012598,0.00382175,0.00319371,0.29920173,0.31728508,0.00015034,0.00168553,0.28588035,0.30757715,0.0022,0.0028
[H]C1([H])OC12C1([H])OC2([H])C1([H])[H],0.2531177,0.28464175,0.00333932,0.01301794,0.27043091,0.29794759,0.00231061,0.00162566,0.26597692,0.29030497,0.0026,0.0017
[H]C([H])([H])C1([H])C2([H])C3([H])C([H])([H])C2([H])C13[H],0.31827941,0.32246086,0.01101572,0.0063135,0.33488998,0.33563634,0.00799595,0.03033359,0.32133978,0.32252678,0.0159,0.0118
[H]C([H])([H])C1([H])N2C3([H])C([H])([H])C2([H])C13[H],0.25108167,0.26067835,0.00311477,0.0199206,0.27223253,0.28533277,0.00797009,0.01741202,0.26538525,0.27688412,0.0069,0.0053
[H]C([H])([H])C1([H])C2([H])N3C([H])([H])C2([H])C31[H],0.24643349,0.25840556,0.00217687,0.01227189,0.26651299,0.2851796,0.00410995,0.01856519,0.25937674,0.27412424,0.0034,0.0052
[H]C([H])([H])C1([H])C2([H])C3([H])OC2([H])C31[H],0.23973771,0.26307142,0.00000489,0.00152655,0.2618735,0.28334307,0.00195935,0.00477445,0.25545559,0.27935,0,0.0011
[H]C([H])([H])N1C2([H])C3([H])C([H])([H])C2([H])C13[H],0.23406515,0.24781412,0.01266963,0.00365816,0.25135093,0.26532089,0.00891691,0.00184323,0.24326583,0.26125095,0.0063,0.0015
[H]N1C2([H])C3([H])N(C([H])([H])[H])C2([H])C13[H],0.22419402,0.23962235,0.00772896,0.0121437,0.23972842,0.25417685,0.00528176,0.00575342,0.23324797,0.24454104,0.0067,0.0093
[H]C([H])([H])N1C2([H])C3([H])OC2([H])C13[H],0.22792345,0.25715522,0.00361025,0.01422912,0.24110013,0.25414384,0.00518418,0.00176824,0.23680163,0.24970064,0.0024,0
[H]OC1([H])C2([H])C3([H])C([H])([H])C2([H])C13[H],0.25748288,0.30326274,0.00325024,0.00287907,0.27184469,0.31575586,0.00073108,0.00137665,0.25971116,0.30423297,0.0027,0.001
[H]OC1([H])C2([H])N3C([H])([H])C2([H])C31[H],0.24303133,0.26157326,0.00572189,0.00291774,0.25895678,0.27701325,0.00453253,0.00070901,0.25289416,0.26179117,0.0068,0.0019
[H]OC1([H])C2([H])C3([H])OC2([H])C13[H],0.24069072,0.25651894,0.00007277,0.00138953,0.2633931,0.27593628,0.00192859,0.00011774,0.25551806,0.26443345,0.0001,0.0009
[H]C1=C([H])C2([H])C3([H])C([H])([H])C2([H])C13[H],0.21459815,0.27546712,0.04126639,0.01555546,0.20577405,0.26947199,0.03466002,0.00036459,0.20375663,0.27096748,0.0443,0.014
[H]C1=C([H])C2([H])N3C([H])([H])C2([H])C13[H],0.17543005,0.24134565,0.00292065,0.05741182,0.16837651,0.23481999,0.00213026,0.05562477,0.17989162,0.23594169,0.0071,0.063
[H]C1=C([H])C2([H])C3([H])OC2([H])C13[H],0.18479749,0.21623433,0.00033125,0.04557604,0.1872039,0.20435366,0.00094073,0.03659701,0.20357289,0.20709715,0.0472,0.0008
[H]C1([H])C([H])([H])C2([H])C3([H])C([H])([H])C2([H])C13[H],0.31930694,0.33129184,0,0.11154408,0.33374202,0.34206503,0.00000026,0.11248329,0.31822711,0.33018901,0,0.0893
[H]C1([H])OC2([H])C3([H])C([H])([H])C2([H])C13[H],0.27015212,0.27918903,0.00105147,0.00489115,0.29311026,0.29908093,0.00000241,0.01068889,0.28201065,0.29174922,0.0032,0.0019
[H]C1([H])C([H])([H])C2([H])C3([H])OC2([H])C13[H],0.23605778,0.26889493,0.00080176,0.01424717,0.25942772,0.2885207,0.00022773,0.00716535,0.25328738,0.28525561,0.0004,0.0098
[H]C1([H])OC2([H])C3([H])OC2([H])C13[H],0.23937503,0.25414354,0.00144987,0.0020388,0.25997588,0.27591163,0.00173396,0.00775375,0.25271409,0.26481564,0.0007,0.0035
[H]C1([H])N2C3([H])C(=O)C1([H])C23[H],0.17508087,0.23457132,0.00262514,0.05648232,0.16971323,0.22952432,0.00131484,0.03436696,0.17177002,0.23869422,0.001,0.0449
[H]C1([H])C2([H])C(=O)C3([H])C1([H])C23[H],0.18482474,0.25797567,0.00024394,0.04901366,0.17925677,0.25316758,0.00027926,0.0314166,0.17999085,0.25768627,0.0002,0.0449
[H]C12C(=O)C3([H])N1C3([H])C2([H])[H],0.17734008,0.23433674,0.00139958,0.08894586,0.17157102,0.22976879,0.0007444,0.05225517,0.17257116,0.23905804,0.0006,0.0688
[H]C1([H])N2C(=O)C3([H])C2([H])C13[H],0.19518755,0.23304149,0.00379464,0.02129988,0.18930308,0.22768167,0.00305905,0.01399552,0.19126554,0.23478776,0.0022,0.0178
[H]C12OC3([H])C([H])(C1=O)C23[H],0.17244778,0.23701558,0.00057278,0.00152911,0.16742262,0.23193289,0.00070808,0.00068753,0.17033312,0.2426411,0.0005,0.0011
[H]C1([H])C2([H])C(=O)N3C1([H])C32[H],0.19596099,0.2513908,0.00091999,0.00085899,0.18968541,0.24085687,0.00115077,0.00122607,0.19130964,0.24890318,0.0009,0.0009
[H]C([H])([H])C1([H])C2([H])N3C([H])([H])C1([H])C32[H],0.25699223,0.26770164,0.00390093,0.00859391,0.27411724,0.28479944,0.00273244,0.01503337,0.26759756,0.27648722,0.006,0.0124
[H]C([H])([H])C1([H])C2([H])C([H])([H])C3([H])C1([H])C23[H],0.27881553,0.2891608,0.01497231,0.00184069,0.29154264,0.30822304,0.00862918,0.00627536,0.28427073,0.29114653,0.0096,0.0032
[H]C([H])([H])C1([H])C2([H])N3C([H])(C2([H])[H])C31[H],0.25784145,0.277678,0.02020563,0.01766059,0.2745954,0.29375156,0.01601872,0.00756339,0.26849792,0.2860788,0.019,0.0156
[H]C([H])([H])C1([H])N2C([H])([H])C3([H])C2([H])C13[H],0.24956072,0.26007252,0.00340908,0.00070721,0.2660743,0.28086506,0.00256438,0.00427992,0.2598508,0.27174656,0.0044,0.0006
[H]C([H])([H])C1([H])C2([H])OC3([H])C2([H])C31[H],0.24476097,0.26061845,0.00115481,0.00170685,0.26446825,0.2824754,0.00006701,0.00373658,0.25677489,0.27564566,0.0005,0.0027
[H]C([H])([H])C1([H])N2C3([H])C([H])([H])C1([H])C23[H],0.26333205,0.26812184,0.01054546,0.01193145,0.27996034,0.28585125,0.01050759,0.01705193,0.27596538,0.27678489,0.0066,0.0161
[H]C([H])([H])N1C2([H])C([H])([H])C3([H])C1([H])C23[H],0.23056533,0.25031574,0.00590216,0.00822555,0.24706098,0.26552295,0.00432504,0.00058794,0.23834142,0.26030282,0.0028,0.0073
[H]OC1([H])C2([H])N3C([H])([H])C1([H])C32[H],0.2458963,0.26729664,0.00356947,0.00852579,0.26017142,0.28596052,0.00479537,0.01374237,0.25149401,0.27465711,0.0037,0.0027
[H]OC1([H])C2([H])C([H])([H])C3([H])C1([H])C23[H],0.25905677,0.2855463,0.00623539,0.02469207,0.27493105,0.29602864,0.00674727,0.01216652,0.25985815,0.28869168,0.0041,0.0208
[H]OC1([H])C2([H])N3C([H])(C2([H])[H])C31[H],0.25541767,0.2652153,0.03040518,0.00798831,0.26865198,0.27852837,0.02323839,0.00707923,0.26018522,0.26870372,0.0134,0.0169
[H]OC1([H])C2([H])OC3([H])C1([H])C23[H],0.24786083,0.26684792,0.00102117,0.00130805,0.26738866,0.28802188,0.00017296,0.00265929,0.25756867,0.28069502,0.0012,0.0027
[H]C1([H])C2([H])C([H])([H])C1([H])C1([H])C([H])([H])C21[H],0.28188891,0.29303994,0.01218269,0.01466067,0.29214483,0.31384851,0.00597119,0.00674373,0.28186733,0.29863604,0.0074,0.0149
[H]C1([H])C2([H])OC1([H])C1([H])C([H])([H])C21[H],0.26622615,0.28046517,0.00073248,0.00771959,0.29074117,0.30154421,0.0001078,0.00029609,0.28058477,0.29178229,0.0006,0.0006
[H]C1([H])N2C3([H])C([H])([H])C([H])(C3([H])[H])C21[H],0.26306672,0.26734063,0.00305484,0.00669125,0.28034341,0.28620766,0.00225991,0.00555697,0.27555379,0.27839819,0.0032,0.0053
[H]C1([H])C2([H])C([H])([H])C1([H])C1([H])OC12[H],0.27584322,0.28564843,0.02417708,0.010975,0.29280161,0.30345438,0.00477276,0.01723941,0.28927966,0.29388436,0.0125,0.0056
[H]N1C2([H])C3([H])OC([H])(C3([H])[H])C12[H],0.24488921,0.25670069,0.00392726,0.00194128,0.25687694,0.27940043,0.00496322,0.00624509,0.24677172,0.26992012,0.0033,0.011
[H]C1([H])C2([H])OC1([H])C1([H])OC21[H],0.24270522,0.27355575,0.00542452,0.01808114,0.25952087,0.26929485,0.00037276,0.00042674,0.25965236,0.26492589,0.0025,0.0006
[H]C1([H])C([H])([H])C2([H])C1([H])C1([H])C([H])([H])C21[H],0.26387541,0.27431039,0.00120924,0.0171774,0.26773228,0.28575415,0.00093073,0.0104014,0.26384178,0.26681848,0.0011,0.0101
[H]C1([H])OC2([H])C1([H])C1([H])C([H])([H])C21[H],0.24956904,0.26178462,0.00756617,0.01057735,0.26735707,0.27746351,0.002648,0.00592994,0.26078791,0.26541465,0.0045,0.0095
[H]C1([H])OC2([H])C1([H])N1C([H])([H])C12[H],0.22927978,0.2518736,0.02000352,0.00189217,0.24213858,0.26663493,0.01163862,0.0022591,0.23877874,0.26036897,0.0165,0.0017
[H]C1([H])C([H])([H])C2([H])C3([H])OC3([H])C12[H],0.26321081,0.27723477,0.00483406,0.00311398,0.28169514,0.29177095,0.00760669,0.00633757,0.27618588,0.28029078,0.0108,0.0013
[H]N1C2([H])C3([H])OC([H])([H])C3([H])C12[H],0.2374159,0.24343108,0.00150257,0.01488994,0.24619552,0.25692143,0.0033237,0.01092807,0.23860602,0.2520673,0.0028,0.0134
[H]C1([H])OC2([H])C3([H])OC3([H])C12[H],0.23951083,0.26359538,0.00643818,0.00800651,0.25243969,0.27841774,0.00486561,0.01054186,0.25026291,0.27399562,0.0041,0.013
[H]C([H])([H])C1([H])C2([H])C3([H])C([H])([H])C3([H])C12[H],0.23352322,0.23463763,0.00140264,0.000255,0.23841883,0.24549568,0.00156732,0.00022905,0.23462607,0.23561095,0.001,0.0002
[H]C([H])([H])C1([H])N2C3([H])C([H])([H])C3([H])C21[H],0.23085815,0.24760469,0.01050166,0.00777154,0.23930201,0.25522435,0.01863234,0.00943903,0.23414833,0.25235762,0.0097,0.0051
[H]C([H])([H])C1([H])C2([H])N3C([H])([H])C3([H])C21[H],0.23682215,0.24853029,0.01574772,0.00637972,0.24745341,0.2549609,0.02035858,0.00604676,0.24003189,0.2530779,0.0114,0.0044
[H]N1C2([H])C1([H])C1([H])C([H])(C([H])([H])[H])C21[H],0.21858065,0.23009625,0.00467205,0.0001296,0.22815774,0.23625043,0.00374164,0.00063484,0.22134119,0.23219326,0.0041,0.0001
[H]C([H])([H])C1([H])C2([H])C3([H])OC3([H])C12[H],0.2405285,0.25923462,0.00005417,0.00310976,0.24551191,0.26419221,0.00000452,0.00347523,0.24129607,0.25987285,0.0003,0.0032
[H]C([H])([H])N1C2([H])C1([H])C1([H])C([H])([H])C21[H],0.24965206,0.25166525,0.00410986,0.00316674,0.23360572,0.25709899,0.00034133,0.00602133,0.23009855,0.25373204,0.0007,0.0031
[H]N1C2([H])C1([H])C1([H])N(C([H])([H])[H])C21[H],0.21342029,0.2171898,0.0018462,0.0004383,0.2184531,0.22957375,0.00143285,0.00373237,0.21869891,0.22233709,0.0018,0.0011
[H]C([H])([H])N1C2([H])C3([H])OC3([H])C12[H],0.21197396,0.24263422,0.00196124,0.00022579,0.21633918,0.2606624,0.00095426,0.00267497,0.21900025,0.2522143,0.0017,0.0002
[H]OC1([H])C2([H])C3([H])C([H])([H])C3([H])C12[H],0.22856712,0.23544106,0.00832251,0.00179306,0.2364682,0.242833,0.00395508,0.00092055,0.22946646,0.23573222,0.0059,0.0012
[H]OC1([H])C2([H])N3C([H])([H])C3([H])C12[H],0.23488274,0.2418009,0.01932689,0.01114544,0.24492687,0.24966616,0.02242955,0.0179581,0.23718015,0.24412944,0.0125,0.0103
[H]OC1([H])C2([H])C3([H])N([H])C3([H])C12[H],0.22457153,0.23404133,0.00362585,0.00016387,0.23316399,0.24041844,0.00094221,0.00009732,0.2274673,0.23603724,0.0028,0.0002
[H]OC1([H])C2([H])C3([H])OC3([H])C12[H],0.24159737,0.26099038,0.00089376,0.02763613,0.24559319,0.25830707,0.00021235,0.03695771,0.24192448,0.26435627,0.0014,0.0094
[H]N1C2([H])C([H])([H])N3C([H])([H])C3([H])C12[H],0.24690939,0.25091461,0.00636743,0.00223891,0.24994371,0.25849844,0.00741345,0.01392691,0.24967124,0.25872628,0.0049,0.0026
[H]C1([H])N2C([H])([H])C2([H])C2([H])OC12[H],0.24755976,0.26857744,0.0143963,0.02879529,0.24750858,0.27845977,0.00971838,0.01920561,0.2534895,0.27671875,0.013,0.0175
[H]C1([H])C2([H])C([H])([H])C2([H])C2([H])C([H])([H])C12[H],0.27069936,0.28831941,0.00075602,0.01802825,0.2729423,0.2982012,0.00034908,0.02759011,0.26961878,0.29109141,0.0005,0.0212
[H]C1([H])C2([H])OC2([H])C2([H])C([H])([H])C12[H],0.28136248,0.2849596,0.00214071,0.03231416,0.28856553,0.29129973,0.00209474,0.01099703,0.28745322,0.29094073,0.0001,0.0163
[H]N1C2([H])C([H])([H])C3([H])N([H])C3([H])C12[H],0.23409599,0.24433193,0.00586142,0.00349226,0.23979306,0.25235324,0.00213127,0.00660073,0.23637901,0.24527602,0.0043,0.0022
[H]N1C2([H])C([H])([H])C3([H])OC3([H])C12[H],0.24472614,0.27065962,0.00460269,0.00034287,0.252703,0.27688903,0.00424865,0.00354599,0.24538995,0.27956682,0.0034,0.0255
[H]C1([H])C2([H])OC2([H])C2([H])OC12[H],0.26554379,0.27258375,0.00272455,0.00806612,0.27073877,0.27579471,0.00057189,0.00534193,0.27391845,0.27773303,0.0026,0.0088
[H]C1([H])C2([H])OC3([H])C([H])([H])C3([H])C12[H],0.26028713,0.27526867,0.00553564,0.00264259,0.26693745,0.28500101,0.00391243,0.00537544,0.2681929,0.28146676,0.0066,0
[H]C([H])([H])C1([H])C([H])([H])C1([H])C1([H])C([H])([H])C1([H])[H],0.27951638,0.28805652,0.00148639,0.00150662,0.28044403,0.28933165,0.00088622,0.00077571,0.27486658,0.28398409,0.001,0.0011
[H]C([H])([H])C1([H])C([H])([H])C1([H])C1([H])OC1([H])[H],0.29388922,0.29558053,0.03017888,0.00612898,0.29740236,0.30347391,0.02168711,0.00080576,0.28901874,0.30072708,0.014,0.0019
[H]C([H])([H])C1([H])C([H])([H])C1([H])N1C([H])([H])C1([H])[H],0.2629763,0.2807029,0.0618009,0.01906599,0.27009989,0.29344434,0.04186508,0.00011286,0.27006712,0.28569293,0.0404,0.0164
[H]C([H])([H])C1([H])N(C2([H])C([H])([H])C2([H])[H])C1([H])[H],0.25850185,0.2697981,0.02891954,0.02586322,0.26511211,0.28029092,0.02691289,0.03033873,0.26627091,0.27443294,0.0234,0.0242
[H]N1C([H])([H])C1([H])C1([H])N([H])C1([H])C([H])([H])[H],0.25363261,0.27837951,0.00954175,0.00678174,0.25788929,0.27935774,0.01046127,0.01055023,0.25484187,0.27970279,0.0088,0.0053
[H]N1C([H])(C([H])([H])[H])C1([H])C1([H])OC1([H])[H],0.25762725,0.28638304,0.00454521,0.02802885,0.26492254,0.29011105,0.0048299,0.02828378,0.25842126,0.29210569,0.0026,0.0209
[H]C([H])([H])C1([H])OC1([H])C1([H])C([H])([H])C1([H])[H],0.28671915,0.29536929,0.05559261,0.01778152,0.29679837,0.30308071,0.02378802,0.02631831,0.29605624,0.30010234,0.0251,0.0155
[H]N1C([H])([H])C1([H])C1([H])OC1([H])C([H])([H])[H],0.27901874,0.29153483,0.00633604,0.03482355,0.29156945,0.29672875,0.01155547,0.02821987,0.27842024,0.29130088,0.0062,0.0317
[H]C([H])([H])C1([H])OC1([H])C1([H])OC1([H])[H],0.29059005,0.2960577,0.07089486,0.01467573,0.29341924,0.30462457,0.02116674,0.01822564,0.29916156,0.3050194,0.023,0.0527
[H]C([H])([H])N1C([H])([H])C1([H])C1([H])C([H])([H])C1([H])[H],0.25709885,0.2675574,0.02738827,0.02256577,0.26456995,0.27373792,0.03873859,0.00947448,0.26192714,0.27463506,0.0187,0.019
[H]N1C([H])([H])C1([H])C1([H])N(C([H])([H])[H])C1([H])[H],0.24908646,0.25898544,0.00632284,0.01789182,0.25395867,0.26568418,0.00819023,0.01656311,0.25124779,0.26290467,0.0074,0.011
[H]C([H])([H])N1C([H])([H])C1([H])C1([H])OC1([H])[H],0.25630656,0.27213812,0.00570675,0.07143873,0.26290575,0.27692121,0.0136731,0.09085583,0.26054904,0.27662687,0.0051,0.0631
[H]OC1([H])C([H])([H])C1([H])C1([H])C([H])([H])C1([H])[H],0.2628301,0.2841975,0.00188645,0.01299375,0.27334217,0.29231887,0.00660028,0.00570875,0.26055272,0.2806105,0.0019,0.0097
[H]OC1([H])C([H])([H])C1([H])C1([H])OC1([H])[H],0.26769207,0.27898116,0.00849009,0.00267347,0.26540202,0.28842672,0.00601943,0.01873389,0.26558002,0.27912215,0.0064,0.0029
[H]OC1([H])C([H])([H])C1([H])N1C([H])([H])C1([H])[H],0.2619188,0.2764938,0.01190947,0.04272634,0.259332,0.28858567,0.00828154,0.01452854,0.26338242,0.27709359,0.0046,0.0233
[H]C1([H])C2([H])C([H])([H])C3([H])C([H])([H])C1([H])C23[H],0.28870126,0.28872265,0.00000677,0.00000708,0.29585249,0.29586725,0.00029433,0.0002942,0.29111346,0.29113551,0,0
[H]C1([H])C2([H])N3C1([H])C([H])([H])C3([H])C2([H])[H],0.23967029,0.24795379,0.02969388,0.00308571,0.25340952,0.25790148,0.0128583,0.01062759,0.25022616,0.26092756,0.024,0.0013
[H]C1([H])C2([H])OC3([H])C([H])([H])C1([H])C23[H],0.25132346,0.26670711,0.00072464,0.01587639,0.26506425,0.2847156,0.00216675,0.00646763,0.26240856,0.28243694,0.0005,0.0147
[H]C1([H])N2C([H])([H])C3([H])OC1([H])C23[H],0.21740373,0.24160805,0.00058579,0.00484894,0.2306201,0.26224958,0.00001253,0.0026393,0.23024187,0.25412526,0.0009,0.0034
[H]C1=C([H])C2([H])C3([H])C([H])([H])C1([H])C23[H],0.2270322,0.24853155,0.0680299,0.00414058,0.2220611,0.24336318,0.06843915,0.00270093,0.21791615,0.2504393,0.0737,0.004
[H]C1=C([H])C2([H])C3([H])OC1([H])C32[H],0.18703748,0.22234082,0.03620633,0.04841682,0.19104635,0.21882441,0.02972515,0.04599339,0.19665299,0.21709664,0.0374,0.0481
[H]C1=C2C([H])([H])C3([H])C2([H])C3([H])C1([H])[H],0.17752186,0.20332167,0.06220759,0.00089992,0.16665628,0.19740179,0.0652392,0.00093068,0.16280319,0.2059028,0.07,0.0012
[H]C1([H])N=C2OC3([H])C2([H])C13[H],0.11981837,0.15488703,0.00844712,0.00649813,0.11819761,0.15742242,0.00781588,0.00409401,0.11892082,0.1632552,0.0086,0.0046
[H]C1([H])C([H])([H])C2([H])C3([H])C([H])([H])C1([H])C23[H],0.2824446,0.2944199,0.01420868,0.00329861,0.29062944,0.30093635,0.00470456,0.00118129,0.28396204,0.29384761,0.0069,0.0016
[H]C1([H])OC2([H])C([H])([H])C3([H])C1([H])C23[H],0.27028956,0.27903104,0.0031238,0.01713004,0.27923563,0.29322734,0.00221783,0.02495366,0.27922872,0.28809634,0.0023,0.0156
[H]C1([H])OC2([H])C3([H])C([H])([H])C1([H])C23[H],0.25594944,0.26975878,0.00618586,0.00662714,0.26833201,0.28702829,0.00510417,0.01038038,0.2668442,0.28005558,0.007,0.0087
[H]C1([H])OC2([H])C([H])([H])N3C1([H])C32[H],0.26093284,0.26791652,0.00826957,0.01753283,0.27237467,0.27879514,0.01199854,0.01807117,0.26765269,0.27588086,0.0121,0.0121
[H]C1([H])C([H])([H])C2([H])C3([H])OC1([H])C32[H],0.2487908,0.25655194,0.00160351,0.0057049,0.26227557,0.27651742,0.00028271,0.00988843,0.2572122,0.27148932,0.001,0.0074
[H]C1([H])OC2([H])C3([H])OC1([H])C23[H],0.23208918,0.24787874,0.00264273,0.00694384,0.24560653,0.26473744,0.00242728,0.00396576,0.24153862,0.26132813,0.0026,0.0043
[H]C1([H])C2([H])C3([H])N4C3([H])C1([H])C42[H],0.23668603,0.26442611,0.03670545,0.00158714,0.26014713,0.27375907,0.02465615,0.00326331,0.24956099,0.26813778,0.0296,0.0018
[H]C1([H])C2([H])N3C4([H])C3([H])C2([H])C14[H],0.24624245,0.2519601,0.00087395,0.00285772,0.26531024,0.27764988,0.00251817,0.00084492,0.25641474,0.26503613,0.0019,0.0011
[H]C1([H])C2([H])C3([H])C1([H])C1([H])C2([H])C31[H],0.27032752,0.27881461,0.00043856,0.00043379,0.28830695,0.29773462,0.00162669,0.00029371,0.27900455,0.28287793,0.0003,0.0008
[H]C1([H])N2C3([H])C1([H])C1([H])C2([H])C31[H],0.23637698,0.24245418,0.0073159,0.00209318,0.25574047,0.26531333,0.00718782,0.00287763,0.24726416,0.25686676,0.0076,0.0032
[H]C1([H])C2([H])N3C1([H])C1([H])C3([H])C21[H],0.24322119,0.24781546,0.00104456,0.00795792,0.26544266,0.27057871,0.00278916,0.00190841,0.25651397,0.2602183,0.0013,0.0001
[H]C12OC3([H])C1([H])N1C2([H])C13[H],0.24436852,0.24826519,0.03181306,0.00133382,0.26436277,0.2714274,0.01524192,0.00164852,0.25704316,0.26475316,0.0272,0.0008
[H]C12OC3([H])C1([H])C1([H])C2([H])C31[H],0.27054778,0.27553879,0.00005941,0.00005788,0.28294626,0.291521,0.00282115,0.00061925,0.27312099,0.28152556,0.0015,0.0001
[H]C1([H])C2([H])C3([H])C2([H])C2([H])C1([H])C32[H],0.25580933,0.25891075,0.00129898,0.00000005,0.26279673,0.27212344,0.00023363,0.00000022,0.2585756,0.26078056,0.0004,0
[H]C1([H])N2C3([H])C2([H])C2([H])C1([H])C32[H],0.24945634,0.26472801,0.00008545,0.00614619,0.26021034,0.27408106,0.00079384,0.00026958,0.25394519,0.27069921,0.0002,0.0016
[H]C1([H])C2([H])N3C2([H])C2([H])C3([H])C12[H],0.25004857,0.26196425,0.00375253,0.00488621,0.26165196,0.27327255,0.00767022,0.00161841,0.25487495,0.27025821,0.0036,0.0026
[H]C12OC3([H])C4([H])C1([H])C2([H])C34[H],0.26660743,0.27115607,0.00000001,0.0004018,0.27378892,0.2772252,0.00001564,0.00214825,0.26792096,0.27059263,0,0.0002
[H]C#Cc1c([H])c([H])nn1[H],0.22099926,0.22559242,0.1911168,0.19708734,0.20712208,0.2117552,0.28683441,0.00041628,0.20386321,0.21240743,0.2868,0.0001
[H]C#Cc1onc([H])c1[H],0.21766995,0.22400926,0.32755767,0.00273197,0.19931067,0.1998101,0.27796936,0.00091801,0.19668606,0.20498039,0.2807,0.0005
